dataset,n,metodo,tiempo,costo
dataset_aleatorias,10,AGM,2.74717,1253
dataset_aleatorias,10,VMC,2.74717,1101
dataset_aleatorias,20,AGM,2.74717,1106
dataset_aleatorias,20,VMC,2.74717,960
dataset_aleatorias,30,AGM,2.74717,2102
dataset_aleatorias,30,VMC,2.74717,1143
dataset_aleatorias,40,AGM,2.74717,2801
dataset_aleatorias,40,VMC,2.74717,1464
dataset_aleatorias,50,AGM,2.74717,2933
dataset_aleatorias,50,VMC,2.74717,1459
dataset_aleatorias,60,AGM,2.74717,4074
dataset_aleatorias,60,VMC,2.74717,1746
dataset_aleatorias,70,AGM,2.74717,4694
dataset_aleatorias,70,VMC,2.74717,1709
dataset_aleatorias,80,AGM,2.74717,4794
dataset_aleatorias,80,VMC,2.74717,1976
dataset_aleatorias,90,AGM,2.74717,5856
dataset_aleatorias,90,VMC,2.74717,2118
dataset_aleatorias,100,AGM,2.74717,6019
dataset_aleatorias,100,VMC,2.74717,2454
dataset_aleatorias,110,AGM,2.74717,7087
dataset_aleatorias,110,VMC,2.74717,2363
dataset_aleatorias,120,AGM,2.74717,8569
dataset_aleatorias,120,VMC,2.74717,2179
dataset_aleatorias,130,AGM,2.74717,9135
dataset_aleatorias,130,VMC,2.74717,2698
dataset_aleatorias,140,AGM,2.74717,11200
dataset_aleatorias,140,VMC,2.74717,3080
dataset_aleatorias,150,AGM,2.74717,11525
dataset_aleatorias,150,VMC,2.74717,2659
dataset_aleatorias,160,AGM,2.74717,11131
dataset_aleatorias,160,VMC,2.74717,2951
dataset_aleatorias,170,AGM,2.74717,11559
dataset_aleatorias,170,VMC,2.74717,3013
dataset_aleatorias,180,AGM,2.74717,12497
dataset_aleatorias,180,VMC,2.74717,3353
dataset_aleatorias,190,AGM,2.74717,14506
dataset_aleatorias,190,VMC,2.74717,3483
dataset_aleatorias,200,AGM,2.74717,13424
dataset_aleatorias,200,VMC,2.74717,3173
dataset_aleatorias,210,AGM,2.74717,14101
dataset_aleatorias,210,VMC,2.74717,3248
dataset_aleatorias,220,AGM,2.74717,15805
dataset_aleatorias,220,VMC,2.74717,3490
dataset_aleatorias,230,AGM,2.74717,17814
dataset_aleatorias,230,VMC,2.74717,3615
dataset_aleatorias,240,AGM,2.74717,16981
dataset_aleatorias,240,VMC,2.74717,3707
dataset_aleatorias,250,AGM,2.74717,18823
dataset_aleatorias,250,VMC,2.74717,4116
dataset_aleatorias,260,AGM,2.74717,15200
dataset_aleatorias,260,VMC,2.74717,4205
dataset_aleatorias,270,AGM,2.74717,19174
dataset_aleatorias,270,VMC,2.74717,4253
dataset_aleatorias,280,AGM,2.74717,20609
dataset_aleatorias,280,VMC,2.74717,4128
dataset_aleatorias,290,AGM,2.74717,21547
dataset_aleatorias,290,VMC,2.74717,4261
dataset_aleatorias,300,AGM,2.74717,21683
dataset_aleatorias,300,VMC,2.74717,4569
dataset_aleatorias,310,AGM,2.74717,21041
dataset_aleatorias,310,VMC,2.74717,4441
dataset_aleatorias,320,AGM,2.74717,23084
dataset_aleatorias,320,VMC,2.74717,4750
dataset_aleatorias,330,AGM,2.74717,21328
dataset_aleatorias,330,VMC,2.74717,4658
dataset_aleatorias,340,AGM,2.74717,25170
dataset_aleatorias,340,VMC,2.74717,4923
dataset_aleatorias,350,AGM,2.74717,23968
dataset_aleatorias,350,VMC,2.74717,5029
dataset_aleatorias,360,AGM,2.74717,22604
dataset_aleatorias,360,VMC,2.74717,5069
dataset_aleatorias,370,AGM,2.74717,25197
dataset_aleatorias,370,VMC,2.74717,5493
dataset_aleatorias,380,AGM,2.74717,28086
dataset_aleatorias,380,VMC,2.74717,5555
dataset_aleatorias,390,AGM,2.74717,25285
dataset_aleatorias,390,VMC,2.74717,5587
dataset_aleatorias,400,AGM,2.74717,27455
dataset_aleatorias,400,VMC,2.74717,5620
dataset_aleatorias,410,AGM,2.74717,29285
dataset_aleatorias,410,VMC,2.74717,5640
dataset_aleatorias,420,AGM,2.74717,30422
dataset_aleatorias,420,VMC,2.74717,5535
dataset_aleatorias,430,AGM,2.74717,28430
dataset_aleatorias,430,VMC,2.74717,5686
dataset_aleatorias,440,AGM,2.74717,32865
